# Datos de temperatura para los 5 sensores
  0.19757, -1.16503,  1.48321,  0.62667, -1.14242
 -0.42351, -1.54635,  1.02941,  0.65805,  0.28241
 -0.01933, -0.96921,  0.51729,  0.41852,  0.05273
 -0.46603,  0.81461, -1.36912,  0.67340,  0.34714
  2.04719, -0.18749, -0.57012, -0.19182, -1.09775
 -0.95369,  0.55838,  1.04812, -0.30523, -0.34757
  0.26862,  0.53160,  0.06062, -0.05097, -0.80987
  0.19395,  0.01407, -1.76760,  0.97396,  0.58562
  0.13176,  0.39966, -0.06550, -0.11775, -0.34817
 -0.81487,  0.11008,  0.06826,  0.01572,  0.62081
# Final de datos
